"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 21:07:09 GMT 2024","Sun May 26 21:07:09 GMT 2024","1","PostgresRepositorySuite","Тестирование метода AddURL","","","","Успешное добавление короткого URL с длинным URL",""
"passed","Sun May 26 21:07:09 GMT 2024","Sun May 26 21:07:09 GMT 2024","0","PostgresRepositorySuite","Тестирование метода GetLongURL","","","","Получение длинного URL с ошибкой",""
"passed","Sun May 26 21:07:09 GMT 2024","Sun May 26 21:07:09 GMT 2024","0","PostgresRepositorySuite","Тестирование метода GetLongURL","","","","Успешное получение длинного URL",""
"passed","Sun May 26 21:07:09 GMT 2024","Sun May 26 21:07:09 GMT 2024","1","PostgresRepositorySuite","Тестирование метода AddURL","","","","Добавление уже существующего короткого URL с длинным URL",""
"passed","Sun May 26 21:07:09 GMT 2024","Sun May 26 21:07:09 GMT 2024","0","PostgresRepositorySuite","Тестирование метода GetLongURL","","","","Получение длинного URL по не существующему короткому",""
"passed","Sun May 26 21:07:09 GMT 2024","Sun May 26 21:07:09 GMT 2024","4","","PostgresRepositorySuite","","","","Тестирование метода AddURL",""
"passed","Sun May 26 21:07:09 GMT 2024","Sun May 26 21:07:09 GMT 2024","1","PostgresRepositorySuite","Тестирование метода AddURL","","","","Добавление короткого URL с длинным URL с ошибкой",""
"passed","Sun May 26 21:07:09 GMT 2024","Sun May 26 21:07:09 GMT 2024","2","","PostgresRepositorySuite","","","","Тестирование метода GetLongURL",""
"passed","Sun May 26 21:07:07 GMT 2024","Sun May 26 21:07:07 GMT 2024","1","GrpcShortcutSuite","Тестирование grpc метода GetShortURL","","","","Создание короткого URL с некорректным длинным URL",""
"passed","Sun May 26 21:07:07 GMT 2024","Sun May 26 21:07:07 GMT 2024","0","GrpcShortcutSuite","Тестирование grpc метода GetLongURL","","","","Получение длинного URL с не существующему короткому",""
"passed","Sun May 26 21:07:07 GMT 2024","Sun May 26 21:07:07 GMT 2024","0","GrpcShortcutSuite","Тестирование grpc метода GetShortURL","","","","Создание короткого URL с ошибкой",""
"passed","Sun May 26 21:07:07 GMT 2024","Sun May 26 21:07:07 GMT 2024","0","GrpcShortcutSuite","Тестирование grpc метода GetLongURL","","","","Получение длинного URL с ошибкой",""
